Sensor 0,Sensor 1,Motor 0 speed,Motor 1 speed,SensorDiff (error),SpeedDiff (set)
59,53,30,30,6,0
61,56,30,30,5,0
42,58,28,32,-16,-4
43,60,28,32,-17,-4
38,54,28,32,-16,-4
38,48,29,31,-10,-2
39,49,29,31,-10,-2
41,56,28,32,-15,-4
43,51,29,31,-8,-2
49,53,30,30,-4,0
60,54,30,30,6,0
59,54,30,30,5,0
60,50,31,29,10,2
52,50,30,30,2,0
58,54,30,30,4,0
60,62,30,30,-2,0
52,63,29,31,-11,-2
53,64,29,31,-11,-2
58,54,30,30,4,0
63,65,30,30,-2,0
60,62,30,30,-2,0
62,70,29,31,-8,-2
61,71,29,31,-10,-2
56,73,28,32,-17,-4
55,69,28,32,-14,-4
51,65,28,32,-14,-4
50,83,26,34,-33,-8
58,90,26,34,-32,-8
63,68,30,30,-5,0
64,61,30,30,3,0
53,62,29,31,-9,-2
44,55,29,31,-11,-2
45,62,28,32,-17,-4
39,63,27,33,-24,-6
51,52,30,30,-1,0
64,47,32,28,17,4
57,41,32,28,16,4
54,24,34,26,30,8
48,20,34,26,28,8
48,30,32,28,18,4
50,18,34,26,32,8
50,17,34,26,33,8
52,13,35,25,39,10
51,18,34,26,33,8
54,30,33,27,24,6
58,28,34,26,30,8
59,21,35,25,38,10
60,27,34,26,33,8
56,21,35,25,35,10
51,14,35,25,37,10
52,15,35,25,37,10
42,21,33,27,21,6
41,23,32,28,18,4
44,32,31,29,12,2
48,38,31,29,10,2
52,32,33,27,20,6
56,42,32,28,14,4
54,44,31,29,10,2
47,51,30,30,-4,0
55,50,30,30,5,0
54,19,35,25,35,10
56,13,36,24,43,12
58,25,34,26,33,8
58,24,35,25,34,10
59,21,35,25,38,10
56,21,35,25,35,10
59,15,36,24,44,12
51,18,34,26,33,8
50,28,33,27,22,6
41,24,32,28,17,4
37,29,31,29,8,2
46,17,34,26,29,8
53,17,35,25,36,10
57,21,35,25,36,10
59,16,36,24,43,12
57,14,36,24,43,12
58,16,36,24,42,12
50,13,35,25,37,10
50,13,35,25,37,10
43,15,34,26,28,8
35,19,32,28,16,4
38,13,33,27,25,6
40,13,34,26,27,8
44,13,34,26,31,8
48,13,35,25,35,10
47,14,34,26,33,8
55,13,36,24,42,12
58,17,36,24,41,12
54,17,35,25,37,10
48,20,34,26,28,8
49,25,33,27,24,6
45,28,32,28,17,4
44,24,33,27,20,6
48,21,34,26,27,8
52,27,33,27,25,6
59,17,36,24,42,12
56,26,34,26,30,8
59,27,34,26,32,8
65,39,33,27,26,6
62,45,32,28,17,4
61,35,33,27,26,6
64,39,33,27,25,6
61,33,34,26,28,8
57,25,34,26,32,8
58,23,35,25,35,10
60,20,36,24,40,12
56,27,34,26,29,8
53,29,33,27,24,6
53,27,33,27,26,6
57,32,33,27,25,6
63,32,34,26,31,8
64,34,34,26,30,8
62,35,34,26,27,8
65,36,34,26,29,8
60,28,34,26,32,8
55,19,35,25,36,10
56,15,36,24,41,12
51,16,35,25,35,10
52,13,35,25,39,10
51,42,31,29,9,2
53,14,35,25,39,10
48,13,35,25,35,10
45,14,34,26,31,8
45,17,34,26,28,8
51,13,35,25,38,10
51,12,35,25,39,10
50,14,35,25,36,10
43,23,33,27,20,6
39,34,30,30,5,0
41,48,29,31,-7,-2
55,54,30,30,1,0
52,61,29,31,-9,-2
50,63,29,31,-13,-2
55,69,28,32,-14,-4
57,79,27,33,-22,-6
58,81,27,33,-23,-6
56,89,26,34,-33,-8
53,89,25,35,-36,-10
52,87,25,35,-35,-10
47,104,22,38,-57,-16
43,99,22,38,-56,-16
36,99,21,39,-63,-18
29,91,21,39,-62,-18
28,87,22,38,-59,-16
34,96,21,39,-62,-18
34,84,23,37,-50,-14
43,73,26,34,-30,-8
30,73,24,36,-43,-12
32,72,24,36,-40,-12
37,66,26,34,-29,-8
42,58,28,32,-16,-4
45,38,31,29,7,2
43,43,30,30,0,0
37,36,30,30,1,0
34,29,30,30,5,0
35,32,30,30,3,0
35,38,30,30,-3,0
33,37,30,30,-4,0
30,32,30,30,-2,0
27,39,29,31,-12,-2
37,42,30,30,-5,0
49,34,32,28,15,4
47,29,32,28,18,4
52,40,31,29,12,2
46,43,30,30,3,0
47,45,30,30,2,0
52,45,31,29,7,2
57,49,31,29,8,2
62,53,31,29,9,2
62,55,31,29,7,2
57,62,30,30,-5,0
51,66,28,32,-15,-4
56,61,30,30,-5,0
62,58,30,30,4,0
57,54,30,30,3,0
54,34,33,27,20,6
47,42,30,30,5,0
42,37,30,30,5,0
44,35,31,29,9,2
49,42,31,29,7,2
49,39,31,29,10,2
51,34,32,28,17,4
54,35,32,28,19,4
58,34,33,27,24,6
61,49,31,29,12,2
57,33,33,27,24,6
50,23,34,26,27,8
43,16,34,26,27,8
45,21,33,27,24,6
43,30,31,29,13,2
49,35,32,28,14,4
47,28,32,28,19,4
38,22,32,28,16,4
41,16,33,27,25,6
39,22,32,28,17,4
40,28,31,29,12,2
38,22,32,28,16,4
40,32,31,29,8,2
37,25,31,29,12,2
44,20,33,27,24,6
50,28,33,27,22,6
53,18,35,25,35,10
51,21,34,26,30,8
47,33,32,28,14,4
53,31,33,27,22,6
54,23,34,26,31,8
42,18,33,27,24,6
38,25,31,29,13,2
23,22,30,30,1,0
20,25,30,30,-5,0
35,19,32,28,16,4
35,13,33,27,22,6
41,13,34,26,28,8
42,14,34,26,28,8
44,19,33,27,25,6
55,22,34,26,33,8
51,20,34,26,31,8
56,26,34,26,30,8
57,17,36,24,40,12
55,26,34,26,29,8
54,23,34,26,31,8
49,29,33,27,20,6
51,17,35,25,34,10
46,26,33,27,20,6
41,25,32,28,16,4
51,34,32,28,17,4
56,34,33,27,22,6
50,37,31,29,13,2
51,35,32,28,16,4
49,34,32,28,15,4
58,28,34,26,30,8
61,34,34,26,27,8
73,63,31,29,10,2
51,42,31,29,9,2
76,56,33,27,20,6
82,54,34,26,28,8
67,49,32,28,18,4
55,51,30,30,4,0
59,48,31,29,11,2
61,52,31,29,9,2
60,50,31,29,10,2
56,49,31,29,7,2
57,47,31,29,10,2
68,51,32,28,17,4
71,46,33,27,25,6
68,43,33,27,25,6
81,45,35,25,36,10
72,45,34,26,27,8
65,49,32,28,16,4
63,47,32,28,16,4
62,65,30,30,-3,0
66,47,32,28,19,4
63,53,31,29,10,2
60,54,30,30,6,0
59,55,30,30,4,0
59,55,30,30,4,0
57,58,30,30,-1,0
59,51,31,29,8,2
57,59,30,30,-2,0
56,85,26,34,-29,-8
57,71,28,32,-14,-4
55,64,29,31,-9,-2
65,50,32,28,15,4
51,52,30,30,-1,0
49,49,30,30,0,0
46,46,30,30,0,0
48,53,30,30,-5,0
53,59,30,30,-6,0
54,57,30,30,-3,0
59,57,30,30,2,0
62,61,30,30,1,0
59,57,30,30,2,0
61,55,30,30,6,0
56,62,30,30,-6,0
53,71,28,32,-18,-4
56,75,28,32,-19,-4
52,78,27,33,-26,-6
60,83,27,33,-23,-6
64,80,28,32,-16,-4
73,86,29,31,-13,-2
67,85,28,32,-18,-4
61,88,26,34,-27,-8
73,94,27,33,-21,-6
68,92,27,33,-24,-6
68,97,26,34,-29,-8
69,95,27,33,-26,-6
66,96,26,34,-30,-8
62,101,25,35,-39,-10
60,102,24,36,-42,-12
58,100,24,36,-42,-12
59,98,25,35,-39,-10
57,100,24,36,-43,-12
60,100,24,36,-40,-12
60,92,26,34,-32,-8
61,82,27,33,-21,-6
56,75,28,32,-19,-4
60,73,29,31,-13,-2
66,62,30,30,4,0
63,51,31,29,12,2
65,51,32,28,14,4
62,48,32,28,14,4
62,44,32,28,18,4
66,46,33,27,20,6
65,50,32,28,15,4
67,49,32,28,18,4
64,48,32,28,16,4
61,52,31,29,9,2
64,45,32,28,19,4
64,46,32,28,18,4
61,49,31,29,12,2
56,52,30,30,4,0
60,41,32,28,19,4
49,33,32,28,16,4
47,25,33,27,22,6
53,24,34,26,29,8
57,28,34,26,29,8
61,24,35,25,37,10
58,27,34,26,31,8
57,15,36,24,42,12
52,22,34,26,30,8
51,28,33,27,23,6
49,16,34,26,33,8
54,17,35,25,37,10
51,18,34,26,33,8
52,18,35,25,34,10
48,15,34,26,33,8
49,15,35,25,34,10
51,17,35,25,34,10
49,20,34,26,29,8
50,21,34,26,29,8
49,25,33,27,24,6
52,22,34,26,30,8
55,23,34,26,32,8
54,22,34,26,32,8
53,22,34,26,31,8
53,15,35,25,38,10
55,13,36,24,42,12
58,29,34,26,29,8
55,16,35,25,39,10
56,16,36,24,40,12
54,15,35,25,39,10
58,12,36,24,46,12
60,12,37,23,48,14
50,12,35,25,38,10
63,13,37,23,50,14
46,13,34,26,33,8
40,13,34,26,27,8
40,14,33,27,26,6
45,21,33,27,24,6
51,16,35,25,35,10
58,14,36,24,44,12
58,15,36,24,43,12
62,25,35,25,37,10
66,25,36,24,41,12
66,29,35,25,37,10
68,29,35,25,39,10
67,30,35,25,37,10
68,27,36,24,41,12
68,24,36,24,44,12
69,22,37,23,47,14
69,17,37,23,52,14
75,26,37,23,49,14
73,33,36,24,40,12
76,35,36,24,41,12
76,33,36,24,43,12
74,37,35,25,37,10
79,40,35,25,39,10
73,44,34,26,29,8
65,43,33,27,22,6
59,39,33,27,20,6
55,38,32,28,17,4
52,34,32,28,18,4
57,34,33,27,23,6
64,26,35,25,38,10
62,26,35,25,36,10
65,26,35,25,39,10
61,19,36,24,42,12
50,16,35,25,34,10
45,14,34,26,31,8
45,15,34,26,30,8
49,20,34,26,29,8
63,17,36,24,46,12
57,40,32,28,17,4
66,29,35,25,37,10
68,16,37,23,52,14
67,38,34,26,29,8
59,18,36,24,41,12
58,20,35,25,38,10
56,18,35,25,38,10
49,14,35,25,35,10
50,14,35,25,36,10
43,13,34,26,30,8
40,14,33,27,26,6
36,14,33,27,22,6
40,14,33,27,26,6
40,14,33,27,26,6
36,14,33,27,22,6
36,14,33,27,22,6
37,17,33,27,20,6
40,13,34,26,27,8
46,16,34,26,30,8
58,14,36,24,44,12
47,23,33,27,24,6
46,18,34,26,28,8
44,21,33,27,23,6
45,21,33,27,24,6
51,20,34,26,31,8
59,24,35,25,35,10
65,26,35,25,39,10
63,40,33,27,23,6
62,45,32,28,17,4
58,61,30,30,-3,0
60,76,28,32,-16,-4
54,91,25,35,-37,-10
65,106,24,36,-41,-12
65,115,23,37,-50,-14
66,137,20,40,-71,-20
70,152,18,42,-82,-24
73,159,18,42,-86,-24
59,158,16,44,-99,-28
48,157,14,46,-109,-32
40,157,13,47,-117,-34
37,153,13,47,-116,-34
42,143,15,45,-101,-30
42,119,19,41,-77,-22
49,106,22,38,-57,-16
57,91,25,35,-34,-10
62,92,26,34,-30,-8
66,86,27,33,-20,-6
64,72,29,31,-8,-2
66,72,30,30,-6,0
72,49,33,27,23,6
59,41,32,28,18,4
54,47,31,29,7,2
55,49,30,30,6,0
58,45,31,29,13,2
59,36,33,27,23,6
61,30,34,26,31,8
63,26,35,25,37,10
61,25,35,25,36,10
65,22,36,24,43,12
65,23,36,24,42,12
66,30,35,25,36,10
60,23,35,25,37,10
51,28,33,27,23,6
48,25,33,27,23,6
51,20,34,26,31,8
50,16,35,25,34,10
55,14,36,24,41,12
58,15,36,24,43,12
66,17,37,23,49,14
57,15,36,24,42,12
60,14,36,24,46,12
60,15,36,24,45,12
57,13,36,24,44,12
54,13,36,24,41,12
54,13,36,24,41,12
51,14,35,25,37,10
51,14,35,25,37,10
60,17,36,24,43,12
63,27,35,25,36,10
70,31,35,25,39,10
73,23,37,23,50,14
69,15,38,22,54,16
64,14,37,23,50,14
61,13,37,23,48,14
64,12,37,23,52,14
57,12,36,24,45,12
60,14,36,24,46,12
58,15,36,24,43,12
56,14,36,24,42,12
53,13,36,24,40,12
49,13,35,25,36,10
48,13,35,25,35,10
53,14,35,25,39,10
56,15,36,24,41,12
50,14,35,25,36,10
53,13,36,24,40,12
59,12,37,23,47,14
59,13,36,24,46,12
59,14,36,24,45,12
58,15,36,24,43,12
57,17,36,24,40,12
51,14,35,25,37,10
50,17,34,26,33,8
47,15,34,26,32,8
48,15,34,26,33,8
49,18,34,26,31,8
53,23,34,26,30,8
53,40,31,29,13,2
55,48,31,29,7,2
66,43,33,27,23,6
61,34,34,26,27,8
58,36,33,27,22,6
70,32,35,25,38,10
75,39,35,25,36,10
75,34,36,24,41,12
66,43,33,27,23,6
61,50,31,29,11,2
58,65,29,31,-7,-2
57,73,28,32,-16,-4
53,84,26,34,-31,-8
50,91,24,36,-41,-12
51,89,25,35,-38,-10
50,88,25,35,-38,-10
55,84,26,34,-29,-8
60,87,26,34,-27,-8
65,80,28,32,-15,-4
63,76,29,31,-13,-2
70,66,30,30,4,0
65,95,26,34,-30,-8
71,60,31,29,11,2
67,56,31,29,11,2
64,49,32,28,15,4
63,39,33,27,24,6
62,25,35,25,37,10
62,17,36,24,45,12
58,13,36,24,45,12
57,16,36,24,41,12
60,14,36,24,46,12
59,16,36,24,43,12
52,18,35,25,34,10
49,14,35,25,35,10
46,13,34,26,33,8
48,13,35,25,35,10
52,12,36,24,40,12
58,15,36,24,43,12
57,16,36,24,41,12
53,22,34,26,31,8
47,27,33,27,20,6
46,31,32,28,15,4
45,24,33,27,21,6
45,18,34,26,27,8
52,14,35,25,38,10
55,15,36,24,40,12
59,13,36,24,46,12
52,13,35,25,39,10
55,13,36,24,42,12
45,13,34,26,32,8
53,14,35,25,39,10
52,12,36,24,40,12
50,12,35,25,38,10
51,15,35,25,36,10
46,15,34,26,31,8
48,16,34,26,32,8
50,14,35,25,36,10
47,14,34,26,33,8
40,14,33,27,26,6
33,12,33,27,21,6
21,12,31,29,9,2
35,13,33,27,22,6
41,17,33,27,24,6
48,28,33,27,20,6
52,38,32,28,14,4
40,36,30,30,4,0
43,38,30,30,5,0
46,22,33,27,24,6
47,14,34,26,33,8
51,16,35,25,35,10
63,25,35,25,38,10
78,26,37,23,52,14
85,33,37,23,52,14
106,31,41,19,75,22
118,47,40,20,71,20
130,35,44,16,95,28
146,37,46,14,109,32
156,39,47,13,117,34
162,47,47,13,115,34
166,44,48,12,122,36
172,42,49,11,130,38
171,47,48,12,124,36
168,39,49,11,129,38
166,27,50,10,139,40
165,16,50,8,149,42
159,17,50,9,142,41
155,27,49,11,128,38
136,16,48,12,120,36
113,14,44,16,99,28
107,17,43,17,90,26
96,23,40,20,73,20
91,30,39,21,61,18
86,36,37,23,50,14
80,35,36,24,45,12
74,32,36,24,42,12
68,31,35,25,37,10
59,35,33,27,24,6
57,28,34,26,29,8
55,23,34,26,32,8
62,20,36,24,42,12
64,13,37,23,51,14
67,14,37,23,53,14
67,18,37,23,49,14
60,16,36,24,44,12
56,13,36,24,43,12
52,14,35,25,38,10
51,15,35,25,36,10
48,17,34,26,31,8
56,15,36,24,41,12
61,12,37,23,49,14
61,12,37,23,49,14
64,13,37,23,51,14
63,13,37,23,50,14
60,13,37,23,47,14
60,14,36,24,46,12
58,13,36,24,45,12
52,13,35,25,39,10
44,13,34,26,31,8
48,14,35,25,34,10
46,24,33,27,22,6
47,22,33,27,25,6
54,16,35,25,38,10
53,14,35,25,39,10
54,22,34,26,32,8
59,31,34,26,28,8
60,49,31,29,11,2
59,36,33,27,23,6
57,34,33,27,23,6
60,30,34,26,30,8
64,21,36,24,43,12
68,20,37,23,48,14
71,22,37,23,49,14
74,24,37,23,50,14
74,39,35,25,35,10
78,30,37,23,48,14
71,28,36,24,43,12
68,19,37,23,49,14
66,21,36,24,45,12
75,25,37,23,50,14
85,28,38,22,57,16
93,19,41,19,74,22
96,25,40,20,71,20
96,26,40,20,70,20
91,18,40,20,73,20
86,19,40,20,67,20
86,16,40,20,70,20
92,17,41,19,75,22
97,14,42,18,83,24
103,19,42,18,84,24
108,17,43,17,91,26
112,25,43,17,87,26
119,13,45,15,106,30
122,17,45,15,105,30
120,24,44,16,96,28
121,16,45,15,105,30
126,14,46,14,112,32
141,18,48,12,123,36
135,14,48,12,121,36
136,13,48,12,123,36
141,13,49,11,128,38
137,13,48,12,124,36
130,13,47,13,117,34
119,13,45,15,106,30
111,15,44,16,96,28
101,13,43,17,88,26
92,13,41,19,79,22
84,18,39,21,66,18
75,23,37,23,52,14
77,25,37,23,52,14
70,19,37,23,51,14
60,16,36,24,44,12
63,22,36,24,41,12
53,14,35,25,39,10
52,12,36,24,40,12
59,13,36,24,46,12
59,16,36,24,43,12
57,15,36,24,42,12
41,13,34,26,28,8
37,16,33,27,21,6
41,17,33,27,24,6
45,20,33,27,25,6
48,33,32,28,15,4
43,31,31,29,12,2
72,37,35,25,35,10
68,27,36,24,41,12
53,28,33,27,25,6
57,33,33,27,24,6
52,34,32,28,18,4
58,34,33,27,24,6
66,36,34,26,30,8
70,38,34,26,32,8
72,44,34,26,28,8
65,40,33,27,25,6
64,35,34,26,29,8
66,28,35,25,38,10
62,22,36,24,40,12
57,28,34,26,29,8
44,21,33,27,23,6
40,30,31,29,10,2
45,29,32,28,16,4
53,30,33,27,23,6
55,25,34,26,30,8
53,23,34,26,30,8
49,18,34,26,31,8
47,21,33,27,26,6
48,17,34,26,31,8
53,15,35,25,38,10
62,24,35,25,38,10
59,37,33,27,22,6
57,24,34,26,33,8
59,16,36,24,43,12
51,19,34,26,32,8
54,18,35,25,36,10
45,15,34,26,30,8
42,17,33,27,25,6
41,23,32,28,18,4
47,26,33,27,21,6
46,30,32,28,16,4
57,44,31,29,13,2
69,49,33,27,20,6
57,53,30,30,4,0
64,72,29,31,-8,-2
48,86,25,35,-38,-10
47,102,22,38,-55,-16
41,132,17,43,-91,-26
49,160,14,46,-111,-32
54,167,14,46,-113,-32
53,164,14,46,-111,-32
50,165,13,47,-115,-34
49,166,13,47,-117,-34
48,169,12,48,-121,-36
47,162,13,47,-115,-34
49,159,14,46,-110,-32
49,136,17,43,-87,-26
42,104,21,39,-62,-18
45,81,25,35,-36,-10
55,61,30,30,-6,0
60,48,31,29,12,2
62,27,35,25,35,10
53,30,33,27,23,6
51,37,32,28,14,4
52,30,33,27,22,6
53,27,33,27,26,6
51,24,34,26,27,8
45,18,34,26,27,8
44,15,34,26,29,8
40,17,33,27,23,6
42,15,34,26,27,8
46,14,34,26,32,8
53,14,35,25,39,10
53,17,35,25,36,10
60,23,35,25,37,10
58,30,34,26,28,8
52,38,32,28,14,4
55,46,31,29,9,2
55,35,33,27,20,6
53,28,33,27,25,6
60,25,35,25,35,10
66,29,35,25,37,10
67,28,35,25,39,10
65,41,33,27,24,6
69,48,33,27,21,6
68,49,32,28,19,4
65,51,32,28,14,4
60,47,31,29,13,2
59,47,31,29,12,2
56,46,31,29,10,2
59,51,31,29,8,2
64,50,32,28,14,4
65,45,33,27,20,6
71,35,35,25,36,10
78,31,37,23,47,14
68,30,35,25,38,10
69,33,35,25,36,10
61,36,33,27,25,6
43,47,30,30,-4,0
43,77,25,35,-34,-10
42,128,18,42,-86,-24
47,169,12,48,-122,-36
43,167,12,48,-124,-36
38,171,11,49,-133,-38
37,170,11,49,-133,-38
41,172,11,49,-131,-38
37,169,11,49,-132,-38
43,173,11,49,-130,-38
58,168,14,46,-110,-32
59,170,14,46,-111,-32
56,164,14,46,-108,-32
51,163,14,46,-112,-32
60,155,16,44,-95,-28
54,151,16,44,-97,-28
48,144,16,44,-96,-28
47,135,17,43,-88,-26
57,131,19,41,-74,-22
68,121,23,37,-53,-14
72,115,24,36,-43,-12
63,112,23,37,-49,-14
55,103,23,37,-48,-14
52,90,25,35,-38,-10
56,89,26,34,-33,-8
62,82,27,33,-20,-6
61,67,30,30,-6,0
40,54,28,32,-14,-4
38,18,33,27,20,6
33,12,33,27,21,6
32,12,33,27,20,6
39,13,33,27,26,6
34,13,33,27,21,6
36,13,33,27,23,6
33,14,32,28,19,4
40,14,33,27,26,6
35,15,33,27,20,6
41,13,34,26,28,8
45,12,34,26,33,8
44,12,34,26,32,8
46,12,35,25,34,10
47,13,35,25,34,10
43,22,33,27,21,6
44,22,33,27,22,6
44,23,33,27,21,6
45,20,33,27,25,6
47,15,34,26,32,8
50,13,35,25,37,10
51,15,35,25,36,10
57,26,34,26,31,8
61,40,33,27,21,6
62,25,35,25,37,10
71,14,38,22,57,16
64,13,37,23,51,14
61,14,37,23,47,14
55,19,35,25,36,10
48,22,33,27,26,6
48,23,33,27,25,6
48,28,33,27,20,6
50,26,33,27,24,6
60,22,35,25,38,10
66,29,35,25,37,10
68,32,35,25,36,10
64,32,34,26,32,8
56,30,33,27,26,6
46,28,32,28,18,4
65,25,36,24,40,12
40,31,31,29,9,2
46,20,33,27,26,6
55,30,33,27,25,6
51,27,33,27,24,6
54,25,34,26,29,8
50,31,32,28,19,4
54,23,34,26,31,8
59,26,34,26,33,8
59,27,34,26,32,8
47,19,34,26,28,8
44,31,31,29,13,2
41,29,31,29,12,2
45,17,34,26,28,8
55,16,35,25,39,10
54,15,35,25,39,10
50,15,35,25,35,10
51,21,34,26,30,8
48,18,34,26,30,8
41,15,33,27,26,6
36,19,32,28,17,4
26,19,31,29,7,2
26,13,31,29,13,2
27,12,32,28,15,4
35,12,33,27,23,6
41,14,34,26,27,8
41,13,34,26,28,8
42,17,33,27,25,6
57,15,36,24,42,12
61,14,37,23,47,14
60,18,36,24,42,12
59,23,35,25,36,10
54,21,34,26,33,8
51,17,35,25,34,10
48,15,34,26,33,8
58,22,35,25,36,10
56,15,36,24,41,12
49,22,34,26,27,8
49,19,34,26,30,8
49,21,34,26,28,8
53,28,33,27,25,6
55,25,34,26,30,8
57,18,35,25,39,10
56,23,34,26,33,8
62,22,36,24,40,12
64,25,35,25,39,10
63,28,35,25,35,10
63,33,34,26,30,8
62,40,33,27,22,6
64,36,34,26,28,8
61,34,34,26,27,8
63,23,36,24,40,12
62,25,35,25,37,10
60,29,34,26,31,8
58,25,34,26,33,8
57,27,34,26,30,8
57,31,33,27,26,6
55,29,33,27,26,6
62,33,34,26,29,8
58,35,33,27,23,6
60,35,33,27,25,6
63,33,34,26,30,8
63,33,34,26,30,8
65,30,35,25,35,10
67,28,35,25,39,10
69,25,36,24,44,12
66,26,36,24,40,12
65,32,34,26,33,8
61,30,34,26,31,8
62,25,35,25,37,10
57,13,36,24,44,12
60,16,36,24,44,12
60,22,35,25,38,10
58,25,34,26,33,8
61,24,35,25,37,10
57,20,35,25,37,10
55,22,34,26,33,8
52,18,35,25,34,10
50,18,34,26,32,8
57,31,33,27,26,6
53,18,35,25,35,10
59,22,35,25,37,10
52,25,34,26,27,8
52,21,34,26,31,8
50,23,34,26,27,8
51,24,34,26,27,8
50,19,34,26,31,8
49,17,34,26,32,8
49,18,34,26,31,8
50,20,34,26,30,8
49,20,34,26,29,8
49,21,34,26,28,8
